table,row,status,status_code,url,final_url,content_type,error,elapsed_sec,context
1,2,OK,200,https://poorvucenter.yale.edu/teaching/teaching-resource-library/ai-guidance-for-teachers/ai-course-assignment-design/sample-ai,https://poorvucenter.yale.edu/teaching/teaching-resource-library/ai-guidance-for-teachers/ai-course-assignment-design/sample-ai,text/html; charset=UTF-8,,0.48, | Yale University | Sample AI Syllabus Statements https://poorvucenter.yale.edu/teaching/teaching-resource-library/ai-guidance-for-teachers/ai-course-assignment-design/sample-ai | 依課程類型分類最完整：大型講課、STEM、人文寫作、創意寫作、研討課、Lab 等；可直接貼入課綱
1,3,OK,200,https://docs.google.com/document/d/1RMVwzjc1o0Mi8Blw_-JUTcXv02b2WRH86vw7mi16W3U/edit?tab=t.0#heading=h.ir0lbtsflw64,https://docs.google.com/document/d/1RMVwzjc1o0Mi8Blw_-JUTcXv02b2WRH86vw7mi16W3U/edit?tab=t.0#heading=h.ir0lbtsflw64,text/html; charset=utf-8,,0.55," | Lance Eaton (研究者) | Syllabi Policies for AI Generative Tools https://docs.google.com/document/d/1RMVwzjc1o0Mi8Blw_-JUTcXv02b2WRH86vw7mi16W3U/edit?tab=t.0#heading=h.ir0lbtsflw64 | This resource was created by Lance Eaton (contact him via email, Bluesky, Twitter, LinkedIn, or sign up for his AI+Edu=Simplified newsletter) for the purposes of sharing and helping other instructors see the range of policies available by other educators to help in the development of their own for navigating AI-Generative Tools (such as ChatGPT, MidJourney, Dall-E, etc)."
1,4,OK,200,https://tltc.umd.edu/sample-syllabus-language-ai-course-policies,https://tltc.umd.edu/sample-syllabus-language-ai-course-policies,text/html; charset=UTF-8,,0.47, | University of Maryland | Sample Syllabus Language: AI Course Policies https://tltc.umd.edu/sample-syllabus-language-ai-course-policies | 提供禁止、限制、指定情境可使用、鼓勵 AI literacy 等多版本模板
1,5,OK,200,https://www.umkc.edu/provost/academics/ai-tools-sample-syllabus-policy-statements.html,https://www.umkc.edu/provost/academics/ai-tools-sample-syllabus-policy-statements.html,text/html,,1.1, | University of Missouri–Kansas City | Generative AI Tools and Sample Syllabus Policy Statements https://www.umkc.edu/provost/academics/ai-tools-sample-syllabus-policy-statements.html | Restrictive / Supervised / Permissive
1,6,OK,200,https://bokcenter.harvard.edu/ai-literacy-and-ethics,https://bokcenter.harvard.edu/ai-literacy-and-ethics,text/html; charset=UTF-8,,0.71, | Harvard University | Teaching in the Age of AI https://bokcenter.harvard.edu/artificial-intelligence Designing Courses & Assignments in the Age of AI https://bokcenter.harvard.edu/courses-and-assignments-in-age-of-ai AI Literacy & Ethics https://bokcenter.harvard.edu/ai-literacy-and-ethics Getting Started with HUIT-Supported AI Tools https://bokcenter.harvard.edu/getting-started-huit-supported-ai-tools Examples & Ideas for Using AI for Your Teaching https://bokcenter.harvard.edu/examples-and-ideas-for-using-AI-for-your-teaching | Designing Courses and Assignments in the Age of AI helps you 
1,6,OK,200,https://bokcenter.harvard.edu/artificial-intelligence,https://bokcenter.harvard.edu/artificial-intelligence,text/html; charset=UTF-8,,0.66, | Harvard University | Teaching in the Age of AI https://bokcenter.harvard.edu/artificial-intelligence Designing Courses & Assignments in the Age of AI https://bokcenter.harvard.edu/courses-and-assignments-in-age-of-ai AI Literacy & Ethics https://bokcenter.harvard.edu/ai-literacy-and-ethics Getting Started with HUIT-Supported AI Tools https://bokcenter.harvard.edu/getting-started-huit-supported-ai-tools Examples & Ideas for Using AI for Your Teaching https://bokcenter.harvard.edu/examples-and-ideas-for-using-AI-for-your-teaching | Designing Courses and Assignments in the Age of AI helps you 
1,6,OK,200,https://bokcenter.harvard.edu/courses-and-assignments-in-age-of-ai,https://bokcenter.harvard.edu/courses-and-assignments-in-age-of-ai,text/html; charset=UTF-8,,0.69, | Harvard University | Teaching in the Age of AI https://bokcenter.harvard.edu/artificial-intelligence Designing Courses & Assignments in the Age of AI https://bokcenter.harvard.edu/courses-and-assignments-in-age-of-ai AI Literacy & Ethics https://bokcenter.harvard.edu/ai-literacy-and-ethics Getting Started with HUIT-Supported AI Tools https://bokcenter.harvard.edu/getting-started-huit-supported-ai-tools Examples & Ideas for Using AI for Your Teaching https://bokcenter.harvard.edu/examples-and-ideas-for-using-AI-for-your-teaching | Designing Courses and Assignments in the Age of AI helps you 
1,6,OK,200,https://bokcenter.harvard.edu/examples-and-ideas-for-using-AI-for-your-teaching,https://bokcenter.harvard.edu/examples-and-ideas-for-using-AI-for-your-teaching,text/html; charset=UTF-8,,0.62, | Harvard University | Teaching in the Age of AI https://bokcenter.harvard.edu/artificial-intelligence Designing Courses & Assignments in the Age of AI https://bokcenter.harvard.edu/courses-and-assignments-in-age-of-ai AI Literacy & Ethics https://bokcenter.harvard.edu/ai-literacy-and-ethics Getting Started with HUIT-Supported AI Tools https://bokcenter.harvard.edu/getting-started-huit-supported-ai-tools Examples & Ideas for Using AI for Your Teaching https://bokcenter.harvard.edu/examples-and-ideas-for-using-AI-for-your-teaching | Designing Courses and Assignments in the Age of AI helps you 
1,6,OK,200,https://bokcenter.harvard.edu/getting-started-huit-supported-ai-tools,https://bokcenter.harvard.edu/getting-started-huit-supported-ai-tools,text/html; charset=UTF-8,,0.63, | Harvard University | Teaching in the Age of AI https://bokcenter.harvard.edu/artificial-intelligence Designing Courses & Assignments in the Age of AI https://bokcenter.harvard.edu/courses-and-assignments-in-age-of-ai AI Literacy & Ethics https://bokcenter.harvard.edu/ai-literacy-and-ethics Getting Started with HUIT-Supported AI Tools https://bokcenter.harvard.edu/getting-started-huit-supported-ai-tools Examples & Ideas for Using AI for Your Teaching https://bokcenter.harvard.edu/examples-and-ideas-for-using-AI-for-your-teaching | Designing Courses and Assignments in the Age of AI helps you 
1,7,OK,200,https://citl.news.niu.edu/2023/07/24/class-policies-for-the-use-of-ai-tools/,https://citl.news.niu.edu/2023/07/24/class-policies-for-the-use-of-ai-tools/,text/html; charset=UTF-8,,1.24, | Northern Illinois University | Class Policies for AI Tools https://citl.news.niu.edu/2023/07/24/class-policies-for-the-use-of-ai-tools/ | classroom-ready templates、assignment-level 聲明
1,8,OK,200,https://academicintegrity.ubc.ca/generative-ai-syllabus/,https://academicintegrity.ubc.ca/generative-ai-syllabus/,text/html; charset=UTF-8,,0.8, | University of British Columbia | Developing Course Guidelines on the Use of GenAI https://academicintegrity.ubc.ca/generative-ai-syllabus/ | 
